segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_en_atasco,max_v_diff
1,EQUILIBRIO,21.93,21.93,21.93,0.0,15.92,1256.0,103.2,0,0,30,0,57.83,57.83,57.83,24.43,0.42,0.0,0,0,0,0,0.0
2,EQUILIBRIO,22.43,22.43,22.43,0.0,15.92,1285.0,105.5,0,0,30,0,57.83,57.83,57.83,24.93,0.43,0.0,0,0,0,0,0.0
3,EQUILIBRIO,22.79,22.79,22.79,0.0,15.92,1306.0,107.2,0,0,30,0,57.83,57.83,57.83,25.29,0.44,0.0,0,0,0,0,0.0
4,EQUILIBRIO,23.04,23.04,23.04,0.0,15.92,1320.0,108.4,0,0,30,0,57.83,57.83,57.83,25.54,0.44,0.0,0,0,0,0,0.0
5,EQUILIBRIO,23.22,23.22,23.22,0.0,15.92,1330.0,109.3,0,0,30,0,57.83,57.83,57.83,25.72,0.44,0.0,0,0,0,0,0.0
6,EQUILIBRIO,23.34,23.34,23.34,0.0,15.92,1338.0,109.9,0,0,30,0,57.83,57.83,57.83,25.84,0.45,0.0,0,0,0,0,0.0
7,EQUILIBRIO,23.43,23.43,23.43,0.0,15.92,1342.0,110.3,0,0,30,0,57.83,57.83,57.83,25.93,0.45,0.0,0,0,0,0,0.0
8,EQUILIBRIO,23.49,23.49,23.49,0.0,15.92,1346.0,110.5,0,0,30,0,57.83,57.83,57.83,25.99,0.45,0.0,0,0,0,0,0.0
9,EQUILIBRIO,23.53,23.53,23.53,0.0,15.92,1348.0,110.7,0,0,30,0,57.83,57.83,57.83,26.03,0.45,0.0,0,0,0,0,0.0
10,EQUILIBRIO,23.56,23.56,23.56,0.0,15.92,1350.0,110.8,0,0,30,0,57.83,57.83,57.83,26.06,0.45,0.0,0,0,0,0,0.0
11,FRENADA_ORIGEN,23.29,15.56,23.57,8.02,15.92,1334.0,109.6,0,0,29,1,53.64,57.83,62.24,25.79,0.45,15.6,0,0,0,0,8.02
12,FRENADA_ORIGEN,22.94,7.56,23.59,16.03,15.92,1314.0,108.0,0,0,29,1,43.03,57.83,74.67,25.44,0.44,29.9,0,-0.0,0,0,16.03
13,FRENADA_ORIGEN,22.52,0.0,23.6,23.6,15.92,1290.0,106.0,1,0,29,0,28.11,57.83,95.1,25.02,0.43,40.0,0,-0.0,1,0,23.6
